Wavelength (m),Spectral flux (W/m^2/m)
5.6400E-07,3.61E-07
5.6450E-07,3.59E-07
5.6500E-07,3.53E-07
5.6550E-07,3.51E-07
5.6600E-07,3.55E-07
5.6650E-07,3.60E-07
5.6700E-07,3.60E-07
5.6750E-07,3.56E-07
5.6800E-07,3.53E-07
5.6850E-07,3.54E-07
5.6900E-07,3.56E-07
5.6950E-07,3.53E-07
5.7000E-07,3.48E-07
5.7050E-07,3.47E-07
5.7100E-07,3.52E-07
5.7150E-07,3.57E-07
5.7200E-07,3.58E-07
5.7250E-07,3.58E-07
5.7300E-07,3.58E-07
5.7350E-07,3.57E-07
5.7400E-07,3.55E-07
5.7450E-07,3.52E-07
5.7500E-07,3.50E-07
5.7550E-07,3.51E-07
5.7600E-07,3.52E-07
5.7650E-07,3.53E-07
5.7700E-07,3.51E-07
5.7750E-07,3.48E-07
5.7800E-07,3.47E-07
5.7850E-07,3.48E-07
5.7900E-07,3.49E-07
5.7950E-07,3.51E-07
5.8000E-07,3.51E-07
5.8050E-07,3.50E-07
5.8100E-07,3.51E-07
5.8150E-07,3.52E-07
5.8200E-07,3.53E-07
5.8250E-07,3.52E-07
5.8300E-07,3.52E-07
5.8350E-07,3.52E-07
5.8400E-07,3.50E-07
5.8450E-07,3.46E-07
5.8500E-07,3.42E-07
5.8550E-07,3.42E-07
5.8600E-07,3.46E-07
5.8650E-07,3.48E-07
5.8700E-07,3.47E-07
5.8750E-07,3.43E-07
5.8800E-07,3.34E-07
5.8850E-07,3.24E-07
5.8900E-07,3.25E-07
5.8950E-07,3.34E-07
5.9000E-07,3.41E-07
5.9050E-07,3.41E-07
5.9100E-07,3.40E-07
5.9150E-07,3.41E-07
5.9200E-07,3.40E-07
5.9250E-07,3.39E-07
5.9300E-07,3.39E-07
5.9350E-07,3.39E-07
5.9400E-07,3.38E-07
5.9450E-07,3.37E-07
5.9500E-07,3.37E-07
5.9550E-07,3.38E-07
5.9600E-07,3.38E-07
5.9650E-07,3.38E-07
5.9700E-07,3.36E-07
5.9750E-07,3.33E-07
5.9800E-07,3.32E-07
5.9850E-07,3.34E-07
5.9900E-07,3.35E-07
5.9950E-07,3.33E-07
6.0000E-07,3.31E-07
6.0050E-07,3.30E-07
6.0100E-07,3.28E-07
6.0150E-07,3.27E-07
6.0200E-07,3.28E-07
6.0250E-07,3.31E-07
6.0300E-07,3.34E-07
6.0350E-07,3.34E-07
6.0400E-07,3.32E-07
6.0450E-07,3.31E-07
6.0500E-07,3.31E-07
6.0550E-07,3.30E-07
6.0600E-07,3.30E-07
6.0650E-07,3.30E-07
6.0700E-07,3.29E-07
6.0750E-07,3.27E-07
6.0800E-07,3.26E-07
6.0850E-07,3.27E-07
6.0900E-07,3.25E-07
6.0950E-07,3.22E-07
6.1000E-07,3.22E-07
6.1050E-07,3.24E-07
6.1100E-07,3.24E-07
6.1150E-07,3.21E-07
6.1200E-07,3.21E-07
6.1250E-07,3.21E-07
6.1300E-07,3.16E-07
6.1350E-07,3.15E-07
6.1400E-07,3.18E-07
6.1450E-07,3.19E-07
6.1500E-07,3.15E-07
6.1550E-07,3.10E-07
6.1600E-07,3.10E-07
6.1650E-07,3.12E-07
6.1700E-07,3.16E-07
6.1750E-07,3.19E-07
6.1800E-07,3.19E-07
6.1850E-07,3.17E-07
